category_title;word;count
Sports               ;bowl;10
Sports               ;eagles;10
Sports               ;off;10
Sports               ;olympics;10
Sports               ;part;10
Sports               ;show;10
Theater & Animation  ;christmas;10
Theater & Animation  ;dad;10
Theater & Animation  ;daily;10
Theater & Animation  ;fit;10
Theater & Animation  ;john;10
Theater & Animation  ;like;10
Theater & Animation  ;love;10
Theater & Animation  ;minutes;10
Theater & Animation  ;people;10
Theater & Animation  ;shorts;10
Theater & Animation  ;trump;10
Entertainment        ;8;9
Entertainment        ;again;9
Entertainment        ;ball;9
Entertainment        ;breaks;9
Entertainment        ;campea;9
Entertainment        ;cold;9
Entertainment        ;dancing;9
Entertainment        ;disney;9
Entertainment        ;finale;9
Entertainment        ;giant;9
Entertainment        ;holiday;9
Entertainment        ;interview;9
Entertainment        ;jimmy;9
Entertainment        ;jordan;9
Entertainment        ;little;9
Entertainment        ;lost;9
Entertainment        ;march;9
Entertainment        ;meghan;9
Entertainment        ;mirror;9
Entertainment        ;off;9
Entertainment        ;old;9
Entertainment        ;parents;9
Entertainment        ;ready;9
Entertainment        ;real;9
Entertainment        ;sarah;9
Entertainment        ;series;9
Entertainment        ;sju;9
Entertainment        ;song;9
Entertainment        ;spoiler;9
Entertainment        ;strangers;9
Entertainment        ;try;9
Entertainment        ;view;9
Lifestyle            ;4k;9
Lifestyle            ;act;9
Lifestyle            ;artist;9
Lifestyle            ;bought;9
Lifestyle            ;cats;9
Lifestyle            ;everyday;9
Lifestyle            ;family;9
Lifestyle            ;frontal;9
Lifestyle            ;ft;9
Lifestyle            ;game;9
Lifestyle            ;giant;9
Lifestyle            ;girl;9
Lifestyle            ;huge;9
Lifestyle            ;inside;9
Lifestyle            ;line;9
Lifestyle            ;nyc;9
Lifestyle            ;products;9
Lifestyle            ;room;9
Lifestyle            ;tbs;9
Lifestyle            ;tiny;9
Lifestyle            ;using;9
Lifestyle            ;whats;9
Lifestyle            ;year;9
Lifestyle            ;york;9
Music                ;5;9
Music                ;back;9
Music                ;dance;9
Music                ;david;9
Music                ;demi;9
Music                ;havana;9
Music                ;john;9
Music                ;justin;9
Music                ;lovato;9
Music                ;sia;9
Music                ;sivan;9
Music                ;timberlake;9
Music                ;troye;9
Music                ;young;9
Science & Politics   ;amtrak;9
Science & Politics   ;earthquake;9
Science & Politics   ;face;9
Science & Politics   ;inside;9
Science & Politics   ;press;9
Science & Politics   ;royal;9
Science & Politics   ;show;9
Science & Politics   ;space;9
Science & Politics   ;state;9
Science & Politics   ;tesla;9
Science & Politics   ;wedding;9
Sports               ;201718;9
Sports               ;april;9
Sports               ;inside;9
Sports               ;jump;9
Sports               ;march;9
Sports               ;pts;9
Sports               ;rockets;9
Sports               ;super;9
Theater & Animation  ;10;9
Theater & Animation  ;4;9
Theater & Animation  ;closer;9
Theater & Animation  ;episode;9
Theater & Animation  ;laugh;9
Theater & Animation  ;loud;9
Theater & Animation  ;network;9
Theater & Animation  ;reading;9
Theater & Animation  ;rudy;9
Theater & Animation  ;school;9
Theater & Animation  ;their;9
Theater & Animation  ;were;9
Entertainment        ;ad;8
Entertainment        ;bgt;8
Entertainment        ;blind;8
Entertainment        ;buzzer;8
Entertainment        ;camila;8
Entertainment        ;choreography;8
Entertainment        ;date;8
Entertainment        ;dont;8
Entertainment        ;everything;8
Entertainment        ;face;8
Entertainment        ;feat;8
Entertainment        ;featuring;8
Entertainment        ;here;8
Entertainment        ;hollywood;8
Entertainment        ;justin;8
Entertainment        ;kimmel;8
Entertainment        ;mendes;8
Entertainment        ;million;8
