day;hour;category_title;count
3;23                                                                                                  ;Lifestyle            ;4
3;23                                                                                                  ;Music                ;1
3;23                                                                                                  ;Science & Politics   ;1
3;23                                                                                                  ;Sports               ;1
3;23                                                                                                  ;Theater & Animation  ;1
4;00                                                                                                  ;Entertainment        ;2
4;00                                                                                                  ;Gaming               ;1
4;00                                                                                                  ;Lifestyle            ;2
4;00                                                                                                  ;Music                ;1
4;00                                                                                                  ;Science & Politics   ;2
4;00                                                                                                  ;Sports               ;1
4;00                                                                                                  ;Theater & Animation  ;1
4;01                                                                                                  ;Entertainment        ;3
4;01                                                                                                  ;Lifestyle            ;2
4;01                                                                                                  ;Science & Politics   ;1
4;01                                                                                                  ;Sports               ;2
4;01                                                                                                  ;Theater & Animation  ;1
4;02                                                                                                  ;Entertainment        ;1
4;02                                                                                                  ;Lifestyle            ;1
4;02                                                                                                  ;Science & Politics   ;2
4;02                                                                                                  ;Sports               ;2
4;02                                                                                                  ;Theater & Animation  ;4
4;03                                                                                                  ;Entertainment        ;1
4;03                                                                                                  ;Gaming               ;1
4;03                                                                                                  ;Lifestyle            ;2
4;03                                                                                                  ;Science & Politics   ;1
4;03                                                                                                  ;Sports               ;1
4;03                                                                                                  ;Theater & Animation  ;1
4;04                                                                                                  ;Entertainment        ;1
4;04                                                                                                  ;Lifestyle            ;1
4;04                                                                                                  ;Sports               ;1
4;04                                                                                                  ;Theater & Animation  ;3
4;05                                                                                                  ;Music                ;3
4;05                                                                                                  ;Science & Politics   ;1
4;05                                                                                                  ;Sports               ;1
4;06                                                                                                  ;Entertainment        ;1
4;06                                                                                                  ;Lifestyle            ;1
4;06                                                                                                  ;Science & Politics   ;1
4;06                                                                                                  ;Sports               ;1
4;06                                                                                                  ;Theater & Animation  ;1
4;07                                                                                                  ;Entertainment        ;3
4;07                                                                                                  ;Lifestyle            ;2
4;07                                                                                                  ;Music                ;1
4;07                                                                                                  ;Theater & Animation  ;1
4;08                                                                                                  ;Entertainment        ;5
4;08                                                                                                  ;Lifestyle            ;1
4;08                                                                                                  ;Music                ;2
4;08                                                                                                  ;Theater & Animation  ;1
4;09                                                                                                  ;Sports               ;1
4;10                                                                                                  ;Entertainment        ;1
4;10                                                                                                  ;Lifestyle            ;2
4;10                                                                                                  ;Sports               ;1
4;10                                                                                                  ;Theater & Animation  ;1
4;11                                                                                                  ;Entertainment        ;1
4;11                                                                                                  ;Lifestyle            ;1
4;11                                                                                                  ;Science & Politics   ;2
4;11                                                                                                  ;Theater & Animation  ;2
4;12                                                                                                  ;Entertainment        ;2
4;12                                                                                                  ;Lifestyle            ;3
4;12                                                                                                  ;Music                ;1
4;12                                                                                                  ;Science & Politics   ;3
4;12                                                                                                  ;Theater & Animation  ;2
4;13                                                                                                  ;Entertainment        ;5
4;13                                                                                                  ;Lifestyle            ;3
4;13                                                                                                  ;Music                ;2
4;13                                                                                                  ;Science & Politics   ;3
4;13                                                                                                  ;Theater & Animation  ;3
4;14                                                                                                  ;Entertainment        ;6
4;14                                                                                                  ;Lifestyle            ;3
4;14                                                                                                  ;Music                ;2
4;14                                                                                                  ;Science & Politics   ;4
4;14                                                                                                  ;Theater & Animation  ;2
4;15                                                                                                  ;Entertainment        ;6
4;15                                                                                                  ;Lifestyle            ;2
4;15                                                                                                  ;Music                ;1
4;15                                                                                                  ;Science & Politics   ;1
4;15                                                                                                  ;Sports               ;1
4;15                                                                                                  ;Theater & Animation  ;1
4;16                                                                                                  ;Entertainment        ;5
4;16                                                                                                  ;Lifestyle            ;5
4;16                                                                                                  ;Music                ;4
4;16                                                                                                  ;Science & Politics   ;4
4;16                                                                                                  ;Sports               ;1
4;16                                                                                                  ;Theater & Animation  ;4
4;17                                                                                                  ;Entertainment        ;7
4;17                                                                                                  ;Lifestyle            ;6
4;17                                                                                                  ;Music                ;5
4;17                                                                                                  ;Science & Politics   ;4
4;17                                                                                                  ;Sports               ;2
4;17                                                                                                  ;Theater & Animation  ;1
4;18                                                                                                  ;Entertainment        ;6
4;18                                                                                                  ;Gaming               ;1
4;18                                                                                                  ;Lifestyle            ;5
4;18                                                                                                  ;Music                ;2
4;18                                                                                                  ;Sports               ;1
4;18                                                                                                  ;Theater & Animation  ;1
4;19                                                                                                  ;Entertainment        ;3
4;19                                                                                                  ;Lifestyle            ;3
4;19                                                                                                  ;Music                ;1
4;19                                                                                                  ;Science & Politics   ;2
4;19                                                                                                  ;Theater & Animation  ;1
4;20                                                                                                  ;Entertainment        ;5
4;20                                                                                                  ;Lifestyle            ;3
4;20                                                                                                  ;Music                ;2
4;20                                                                                                  ;Science & Politics   ;2
4;20                                                                                                  ;Sports               ;1
4;20                                                                                                  ;Theater & Animation  ;2
4;21                                                                                                  ;Entertainment        ;5
4;21                                                                                                  ;Lifestyle            ;3
4;21                                                                                                  ;Music                ;1
4;21                                                                                                  ;Science & Politics   ;2
4;21                                                                                                  ;Sports               ;1
4;21                                                                                                  ;Theater & Animation  ;4
4;22                                                                                                  ;Entertainment        ;4
4;22                                                                                                  ;Gaming               ;1
4;22                                                                                                  ;Lifestyle            ;8
4;22                                                                                                  ;Music                ;1
4;22                                                                                                  ;Science & Politics   ;5
4;22                                                                                                  ;Theater & Animation  ;2
4;23                                                                                                  ;Entertainment        ;3
4;23                                                                                                  ;Lifestyle            ;3
4;23                                                                                                  ;Science & Politics   ;3
4;23                                                                                                  ;Theater & Animation  ;1
5;00                                                                                                  ;Entertainment        ;2
5;00                                                                                                  ;Gaming               ;1
5;00                                                                                                  ;Lifestyle            ;2
5;00                                                                                                  ;Science & Politics   ;1
5;01                                                                                                  ;Entertainment        ;1
5;01                                                                                                  ;Lifestyle            ;4
5;01                                                                                                  ;Sports               ;1
5;01                                                                                                  ;Theater & Animation  ;2
5;02                                                                                                  ;Entertainment        ;1
5;02                                                                                                  ;Lifestyle            ;3
5;02                                                                                                  ;Music                ;1
5;02                                                                                                  ;Science & Politics   ;1
5;03                                                                                                  ;Lifestyle            ;3
5;03                                                                                                  ;Science & Politics   ;1
5;03                                                                                                  ;Sports               ;3
5;03                                                                                                  ;Theater & Animation  ;2
5;04                                                                                                  ;Gaming               ;1
5;04                                                                                                  ;Lifestyle            ;1
5;04                                                                                                  ;Music                ;2
5;04                                                                                                  ;Science & Politics   ;1
5;04                                                                                                  ;Theater & Animation  ;2
5;05                                                                                                  ;Entertainment        ;2
5;05                                                                                                  ;Music                ;5
5;05                                                                                                  ;Science & Politics   ;1
5;05                                                                                                  ;Theater & Animation  ;3
5;06                                                                                                  ;Entertainment        ;2
5;06                                                                                                  ;Lifestyle            ;1
5;06                                                                                                  ;Sports               ;1
5;06                                                                                                  ;Theater & Animation  ;2
5;07                                                                                                  ;Entertainment        ;2
5;07                                                                                                  ;Lifestyle            ;3
5;07                                                                                                  ;Sports               ;1
5;08                                                                                                  ;Entertainment        ;4
5;08                                                                                                  ;Music                ;1
5;09                                                                                                  ;Entertainment        ;3
5;09                                                                                                  ;Music                ;2
5;09                                                                                                  ;Sports               ;1
5;09                                                                                                  ;Theater & Animation  ;1
5;10                                                                                                  ;Lifestyle            ;1
5;10                                                                                                  ;Music                ;1
5;10                                                                                                  ;Science & Politics   ;1
5;10                                                                                                  ;Theater & Animation  ;1
5;11                                                                                                  ;Entertainment        ;2
5;11                                                                                                  ;Lifestyle            ;1
5;11                                                                                                  ;Music                ;1
5;11                                                                                                  ;Science & Politics   ;1
5;11                                                                                                  ;Theater & Animation  ;1
5;12                                                                                                  ;Entertainment        ;2
5;12                                                                                                  ;Music                ;4
5;12                                                                                                  ;Science & Politics   ;3
5;12                                                                                                  ;Theater & Animation  ;1
5;13                                                                                                  ;Entertainment        ;2
5;13                                                                                                  ;Lifestyle            ;2
5;13                                                                                                  ;Music                ;3
5;13                                                                                                  ;Science & Politics   ;6
5;13                                                                                                  ;Sports               ;1
5;13                                                                                                  ;Theater & Animation  ;1
5;14                                                                                                  ;Entertainment        ;8
5;14                                                                                                  ;Gaming               ;1
5;14                                                                                                  ;Lifestyle            ;3
5;14                                                                                                  ;Music                ;2
5;14                                                                                                  ;Science & Politics   ;5
5;14                                                                                                  ;Theater & Animation  ;2
5;15                                                                                                  ;Entertainment        ;4
5;15                                                                                                  ;Lifestyle            ;4
5;15                                                                                                  ;Music                ;4
5;15                                                                                                  ;Science & Politics   ;6
5;15                                                                                                  ;Sports               ;1
5;16                                                                                                  ;Entertainment        ;6
5;16                                                                                                  ;Gaming               ;1
5;16                                                                                                  ;Lifestyle            ;7
5;16                                                                                                  ;Music                ;4
