snippet/title;title;thumbnail_link;hour_of_publish;week_day
Entertainment        ;Becoming Plum with Sarah Lamb                                                                       ;https://i.ytimg.com/vi/1-BhcMdxfjI/default.jpg       ;16                                                                                                  ;3
Lifestyle            ;I was in a wedding and smashed my face                                                              ;https://i.ytimg.com/vi/10fjaHpOeWo/default.jpg       ;06                                                                                                  ;6
Theater & Animation  ;Jimmy Kimmel on Roseanne Cancellation                                                               ;https://i.ytimg.com/vi/12m1rG0Tj7U/default.jpg       ;02                                                                                                  ;4
Entertainment        ;Count On Christmas Performance ft. Bebe Rexha | A CHRISTMAS STORY LIVE                              ;https://i.ytimg.com/vi/13hdKXfku4M/default.jpg       ;03                                                                                                  ;2
Entertainment        ;I SNUCK INTO YOUTUBE REWIND 2017 (I was invited) | Behind The Scenes | NYC                          ;https://i.ytimg.com/vi/15aTCG3as6Q/default.jpg       ;22                                                                                                  ;4
Lifestyle            ;CELEBRITY HAIRSTYLIST DOES MY HAIR: RIHANNA!                                                        ;https://i.ytimg.com/vi/15UK0924t_o/default.jpg       ;01                                                                                                  ;7
Lifestyle            ;I love the Price is Right! Wooo! -Kevin                                                             ;https://i.ytimg.com/vi/1640fZpYBSY/default.jpg       ;18                                                                                                  ;3
Science & Politics   ;Emergence – How Stupid Things Become Smart Together                                               ;https://i.ytimg.com/vi/16W7c0mb-rE/default.jpg       ;15                                                                                                  ;5
Entertainment        ;Cardi B: 2018 iHeartRadio Music Awards | Acceptance Speech | TBS                                    ;https://i.ytimg.com/vi/18QHSoWPygQ/default.jpg       ;01                                                                                                  ;2
Entertainment        ;The BIGGEST Moments From the 2018 Grammys: Kesha, Bruno Mars, Kendrick Lamar, & Hillary Clinton     ;https://i.ytimg.com/vi/1A_aWbz6D5A/default.jpg       ;05                                                                                                  ;2
Entertainment        ;Cobra Kai Ep 2 - Strike First - The Karate Kid Saga Continues                                       ;https://i.ytimg.com/vi/1Aoc-cd9eYs/default.jpg       ;16                                                                                                  ;4
Lifestyle            ;Ultimate Bacon Recipes                                                                              ;https://i.ytimg.com/vi/1bSDtlARvPI/default.jpg       ;23                                                                                                  ;7
Entertainment        ;#VeteransDay: Thank You for Everything                                                              ;https://i.ytimg.com/vi/1cgK-BIrXes/default.jpg       ;15                                                                                                  ;6
Lifestyle            ;MY MORNING GLOW UP | DESI PERKINS                                                                   ;https://i.ytimg.com/vi/1CYch47uOZU/default.jpg       ;20                                                                                                  ;3
Entertainment        ;How To Design A Comic Book Page                                                                     ;https://i.ytimg.com/vi/1dQEfL2BfUM/default.jpg       ;15                                                                                                  ;4
