category_title;word;likes;dislikes;comments;views;days_until_trendy
Science & Politics   ;honors;5606.0;191.0;877.0;233926.0;5.0
Science & Politics   ;different;5603.0;533.0;1010.0;269315.0;5.0
Science & Politics   ;hacking;5602.0;127.0;837.0;239000.0;6.0
Science & Politics   ;appears;5601.0;1180.0;10265.0;1349950.0;8.0
Science & Politics   ;chemicals;5600.0;230.0;711.0;181739.0;7.0
Entertainment        ;midseason;5599.0;1064.0;4856.0;515555.0;6.0
Entertainment        ;hollywoodlife;5599.0;650.0;779.0;756379.0;11.0
Theater & Animation  ;cake;5598.0;182.0;1080.0;288917.0;7.0
Science & Politics   ;own;5591.0;301.0;879.0;203667.0;5.0
Theater & Animation  ;live;5586.0;652.0;670.0;536559.0;6.0
Sports               ;rocketsclippers;5586.0;326.0;826.0;578767.0;6.0
Music                ;harding;5585.0;230.0;523.0;380586.0;7.0
Music                ;tonya;5585.0;230.0;523.0;380586.0;7.0
Science & Politics   ;footage;5583.0;517.0;1312.0;970093.0;7.0
Entertainment        ;brees;5580.0;115.0;334.0;219805.0;6.0
Entertainment        ;couples;5580.0;115.0;334.0;219805.0;6.0
Entertainment        ;knowles;5577.0;303.0;2521.0;403559.0;9.0
Entertainment        ;mathew;5577.0;303.0;2521.0;403559.0;9.0
Music                ;nowhere;5575.0;127.0;320.0;149801.0;6.0
Sports               ;tribute;5570.0;123.0;324.0;422397.0;7.0
Sports               ;epilepsy;5568.0;68.0;609.0;160674.0;3.0
Sports               ;running;5568.0;68.0;609.0;160674.0;3.0
Lifestyle            ;sea;5567.0;329.0;935.0;362229.0;6.0
Lifestyle            ;guinness;5562.0;157.0;409.0;660219.0;6.0
Lifestyle            ;blade;5555.0;159.0;621.0;114266.0;5.0
Lifestyle            ;devin;5555.0;159.0;621.0;114266.0;5.0
Lifestyle            ;interactions;5555.0;159.0;621.0;114266.0;5.0
Lifestyle            ;supertramp;5555.0;159.0;621.0;114266.0;5.0
Lifestyle            ;vortex;5555.0;159.0;621.0;114266.0;5.0
Science & Politics   ;fever;5552.0;58.0;587.0;154559.0;6.0
Sports               ;smith;5552.0;328.0;1942.0;633674.0;3.0
Entertainment        ;garden;5551.0;260.0;473.0;502880.0;10.0
Entertainment        ;wheels;5551.0;260.0;473.0;502880.0;10.0
Lifestyle            ;donald;5549.0;4289.0;4174.0;626758.0;7.0
Lifestyle            ;tips;5546.0;544.0;458.0;453572.0;5.0
Music                ;style;5543.0;151.0;305.0;115619.0;4.0
Lifestyle            ;stars;5539.0;186.0;854.0;266858.0;8.0
Sports               ;than;5538.0;1184.0;4257.0;695528.0;1.0
Lifestyle            ;job;5530.0;166.0;228.0;129979.0;9.0
Sports               ;allen;5526.0;254.0;1377.0;878482.0;4.0
Entertainment        ;bellas;5524.0;422.0;725.0;758220.0;16.0
